agr;site_type;numero_de_site;hopital;site;adresse;post;commune;telefon;website;langue;region;province;region_hospitalier;type_hopital;statut;a;a_j;a_n;b;c;cd;d;e;g;ib_ptca_plus18;k;k_j;k_n;l;m;nic;s1;s2;s3;s4;s5;s6;t;t1;t2;tfb;tfp;tg;nombre_de_lits_par_site;nombre_de_lits_d_hopitaux;remarques_1;imagerie_medicale_imagerie_medicale_avec_scanner;imagerie_medicale_resonance_magnetique_nucleaire_rmn;imagerie_medicale_scanner-pet;radiotherapie;centre_de_dialyse;centre_de_transplantation;centre_pour_la_reproduction_humaine;centre_de_traitement_de_grands_brules;programme_de_soins_pathologie_cardiaque;programme_de_soins_pathologie_cardiaque.1;programme_de_soins_pathologie_cardiaque.2;programme_de_soins_pathologie_cardiaque.3;programme_de_soins_pathologie_cardiaque.4;programme_de_soins_pathologie_cardiaque.5;programme_de_soins_pathologie_cardiaque.6;collaboration_ou_association_concernant_programme_de_soins_pathologie_cardiaque;programmes_des_soins_soins_de_l_accident_vasculaire_cerebral_avc_programme_de_soins_de_base_soins_de_l_avc_aigu;programmes_des_soins_soins_de_l_accident_vasculaire_cerebral_avc_programme_de_soins_specialise_soins_de_l_avc_impliquant_des_procedures_invasives;programme_de_soins_medecine_de_la_reproduction;programme_de_soins_medecine_de_la_reproduction.1;association_concernant_du_programme_de_soins_medecine_de_la_reproduction;programme_de_soins_de_base_en_oncologie;programme_de_soins_d_oncologie;programme_coordinateur_de_soins_oncologiques_specialise_pour_le_cancer_du_sein;programme_de_soins_oncologiques_specialise_pour_le_cancer_du_sein_clinique_du_sein_satellite;programme_de_soins_specialise_en_hemato-oncologie_pediatrique;programme_de_soins_pour_enfants;programme_de_soins_pour_le_patient_geriatrique_service_de_gériatrique;programme_de_soins_pour_le_patient_geriatrique_consultation_gériatrique;programme_de_soins_pour_le_patient_geriatrique_l_hôpital_de_jour_pour_le_patient_gériatrique;programme_de_soins_pour_le_patient_geriatrique_liaison_interne;programme_de_soins_pour_le_patient_geriatrique_liaison_externe;association_programme_de_soins_pour_le_patient_gériatrique;officine_hospitaliere;officine_hospitaliere.1;soins_intensifs;coordination_locale_des_donateurs;banque_de_sang_hospitaliere;soins_neonatals_locaux_nx;soins_perinatals_regionaux;liaison_pediatrique;premiere_prise_en_charge_des_urgences;soins_urgents_specialises;smur;association_concernant_smur;soins_palliatifs;hospitalisation_chirurgical_de_jour;hospitalisation_non_chirurgical_de_jour;maladies_rares;fonction_de_mediateur;centre_d_expertise_pour_les_patients_comateux;centre_d_expertise_pour_les_patients_comateux.1
723;SS;1760;CHIREC - HOPITAL SARE;HOPITAL DE BRAINE-L'ALLEUD - WATERLOO;RUE WAYEZ 35;1420;BRAINE-L'ALLEUD;02/434.91.11;;F;W;Brabant Wallon;Brabant Wallon;;;;;;;60;106;30;15;24;;;;;;30;;;22;;;;;;;;;;;287;;;X;X (1);;;;;;;X;;;;;X;;;;;;X;;X;;;X;;X;;;;;;;;;X;;X;X;;;;X;X;;;X;;;;;
724;SP;1910;CENTRE HOSPITALIER EPICURA;ATH;RUE MARIA THOMEE 1;7800;ATH;078/15.01.70;www.epicura.be;F;W;Hainaut;Ath - Soignies;Hôpital général à caractère universitaire;Privé;5;;;;36;33;77;18;48;;;;;;20;;;;;;;;;;;;;;237;;Les 5 lits A exploité en association avec C.H. Epicura Hornu (A/410);X;X (1);Association avec CHWAPI Tournai (A/534);;;;;;X;;;;;X;;;;;;;;;X;;;;X;X;;;;;;X;;X;X;X;X;;;;X;X;;X;X;;;;;
724;SS;3070;CENTRE HOSPITALIER EPICURA;BELOEIL;RUE D'ATH 19;7970;BELOEIL;078/15.01.70;;F;W;Hainaut;Ath - Soignies;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;
900;SP;3890;PSYCHIATRISCH CENTRUM DR. GUISLAIN;DR. GUISLAIN;FRANCISCO FERRERLAAN 88 A;9000;GENT;09/216.33.11;www.guislain.be;N;V;Oost-Vlaanderen;Gent - Eeklo;Psychiatrisch ziekenhuis;Privaat;37;10;;;;;;;;;;;;;;;;;;;;;64;20;1;;;20;152;311;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
900;SS;2230;PSYCHIATRISCH CENTRUM DR. GUISLAIN;SINT-ALFONS;ST.-JULIAANSTRAAT 1;9000;GENT;09/243.55.55;;N;V;Oost-Vlaanderen;Gent - Eeklo;;;33;5;5;;;;;;;;;;;;;;;;;;;27;53;16;;;;;139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
900;SS;3891;PSYCHIATRISCH CENTRUM DR. GUISLAIN;DE DEYNE;EBERGISTE DE DEYNESTRAAT 2;9000;GENT;09/385.77.62;;N;V;Oost-Vlaanderen;Gent - Eeklo;;;;;;;;;;;;;15;3;2;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
901;SP;2190;KLINIEK ST. JOZEF;;BOTERSTRAAT 6;8740;PITTEM;051/46.70.41;www.sintjozefpittem.be;N;V;West-Vlaanderen;Roeselare;Psychiatrisch ziekenhuis;Privaat;90;5;5;;;;;;;;20;1;6;;;;;;;;;;60;5;5;;;;197;;De 20 K- bedden, 1 K(d)- plaats en 6 k(n)- bedden worden uitgebaat in functie van de associatie regio Ieper - Roeselare - Pittem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Associatie met AZ Delta Roeselare (E. 117);;;;;;;;;;;;;;;;;
902;SP;2510;PSYCHIATRISCH CENTRUM MULTIVERSUM;ALEXIANEN;PROVINCIESTEENWEG 408;2530;BOECHOUT;03/455.75.31;www.multiversum.care;N;V;Antwerpen;Lier;Psychiatrisch ziekenhuis;Privaat;58;20;5;;;;;;;;;;;;;;;;;;;;115;21;5;;;9;233;591;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
902;SS;2560;PSYCHIATRISCH CENTRUM MULTIVERSUM;AMEDEUS;DEURNESTRAAT 252;2640;MORTSEL;03/440.68.50;;N;V;Antwerpen;Antwerpen;Psychiatrisch ziekenhuis;Privaat;95;10;5;;;;;;;;;;;;;;;;;;;21;166;28;10;;;23;358;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
904;SP;3990;CENTRE PSYCHIATRIQUE ST.-BERNARD;;RUE JULES EMPAIN 43;7170;MANAGE;064/54.14.09;www.cp-st-bernard.be;F;W;Hainaut;La Louvière;Hôpital psychiatrique;Privé;90;5;1;;;;;;;;;;;;;;;;;;;21;163;10;1;;;;291;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
905;SP;4020;HOPITAL PSYCHIATRIQUE ST.-CHARLES;;RUE DU CHAUCHOIR 45;7620;WEZ-VELVAIN;069/89.12.80;www.hopitalpsychiatriquesaint-charlesacis.be;F;W;Hainaut;Tournai - Mouscron;Hôpital psychiatrique;Privé;34;;;;;;;;;;;;;;;;;;;;;;10;;;;;;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X (dépôt de médicaments);;;;;;;;;;;;;;;;;;
908;SP;4060;"CENTRE HOSPITALIER SPECIALISE  "" L'ACCUEIL""";;RUE DU DOYARD 15;4990;LIERNEUX;080/29.21.11;www.isosl.be;F;W;Liège;Verviers;Hôpital psychiatrique;Public;120;24;;;;;;;;;;;;;;;;;;;;30;119;6;6;18;90;;413;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
909;SP;4090;OPENBAAR PSYCHIATRISCH ZORGCENTRUM REKEM;;DAALBROEKSTRAAT 106;3621;REKEM;089/22.22.22;www.opzcrekem.be;N;V;Limburg;Hasselt - Genk;Psychiatrisch ziekenhuis;Openbaar;60;13;1;;;;;;;;;;;;;;;;;;;;109;25;;;;80;288;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
911;SP;3950;P.C. ST.-FRANCISCUS - DE PELGRIM;ST. FRANCISCUS;PENITENTENLAAN  7;9620;ZOTTEGEM;09/364.46.46;www.pzsfz.be;N;V;Oost-Vlaanderen;Oudenaarde;Psychiatrisch ziekenhuis;Privaat;;;;;;;;;;;;;;;;;;;;;;;;43;;;;;43;223;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
911;SS;3951;P.C. ST.-FRANCISCUS - DE PELGRIM;;PENITENTENLAAN  22;9620;ZOTTEGEM;09/364.46.46;;N;V;Oost-Vlaanderen;Oudenaarde;;;30;;;;;;;;;;;;;;;;;;;;;25;60;;5;;;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
911;SS;4180;P.C. ST. FRANCISCUS - DE PELGRIM;DE PELGRIM;SPIEGEL 15;9860;OOSTERZELE;09/362.69.11;;N;V;Oost-Vlaanderen;Gent - Eeklo;;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
912;SP;4170;C.H. NEUROLOGIQUE WILLIAM LENNOX;;ALLEE DE CLERLANDE 6;1340;OTTIGNIES;010/43.02.11;www.cnwl.be;F;W;Brabant Wallon;Brabant Wallon;Hôpital psychiatrique;Privé;91;;;;;;;;;;50;18;;;;;;;;;;;;;;;;;159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;X (6 lits);
915;SP;3740;A.C.I.S. - LA PETITE MAISON;;RUE DES ACACIAS 10;1450;CHASTRE;010/65.39.50;www.acis-group.org;F;W;Brabant Wallon;Brabant Wallon;Hôpital psychiatrique;Privé;;;;;;;;;;;56;7;;;;;;;;;;;;;;;;;63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
916;SP;3750;"""LE BIVOUAC""";;SQUARE DES HEROS 5;1180;BRUXELLES;02/373.95.90;;B;B;Brussel-Bruxelles;Bruxelles - Brussel;Psychiatrisch ziekenhuis - Hôpital psychiatrique;Privaat - Privé;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
918;SP;3930;PSYCHIATRISCH CENTRUM ST.HIERONYMUS;;DALSTRAAT 84;9100;SINT-NIKLAAS;03/776.00.41;www.hieronymus.be;N;V;Oost-Vlaanderen;Sint-Niklaas;Psychiatrisch ziekenhuis;Privaat;30;25;5;;;;;;;;;;;;;;;;;;;;100;25;5;;;30;220;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
922;SP;3970;CLINIQUE NEUROPSYCHIATRIQUE DE BONSECOURS;;AVENUE DE LA BASILIQUE 16;7603;BONSECOURS;069/77.20.04;www.cliniquedebonsecours.be;F;W;Hainaut;Tournai - Mouscron;Hôpital psychiatrique;Privé;71;;;;;;;;;;;;;;;;;;;;;;;;;;;;71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
923;SP;2590;CENTRE HOSPITALIER LE DOMAINE;;CHEMIN JEAN LANNEAU 39;1420;BRAINE-L'ALLEUD;02/386.09.00;www.domaine-ulb.be;F;W;Brabant Wallon;Brabant Wallon;Hôpital psychiatrique;Public;30;;;;;;;;;;15;;;;;;;;;;;;98;;;;;;143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
925;SP;4040;C.H.S. NOTRE DAME DES ANGES ;;RUE E. VANDERVELDE 67;4000;GLAIN;04/224.72.11;www.cnda.be;F;W;Liège;Liège;Hôpital psychiatrique;Privé;77;30;2;;;;;;;;;;;;;;;;;;;;105;;;;;;214;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
926;SP;2640;CLINIQUE SANS SOUCI;;AVENUE DE L'EXPOSITION 218;1090;BRUXELLES--9;02/478.04.33;www.sans-souci.be;B;B;Brussel-Bruxelles;Bruxelles - Brussel;Psychiatrisch ziekenhuis - Hôpital psychiatrique;Privaat - Privé;45;;;;;;;;;;;;;;;;;;;;;;80;10;10;;;;145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
927;SP;3770;PARHELIE ASBL;;AVENUE JACQUES PASTUR 45;1180;BRUXELLES-18;02/373.82.10;www.parhelie.be;F;B;Brussel-Bruxelles;Bruxelles - Brussel;Psychiatrisch ziekenhuis - Hôpital psychiatrique;Privaat - Privé;;;;;;;;;;;10;14;;;;;;;;;;;;;;;;;24;34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
927;SS;4560;PARHELIE ASBL;CENTRE DE JOUR POUR LA PETITE ENFANCE;AVENUE DE BROQUEVILLE 147;1200;BRUXELLES;02/373.82.10;;F;B;Brussel-Bruxelles;Bruxelles - Brussel;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
935;SP;2130;EPSYLON Asbl;LA RAMEE;AVENUE DE BOETENDAEL 34;1180;BRUXELLES-18;02/344.18.94;www.epsylon.be;B;B;Brussel-Bruxelles;Bruxelles - Brussel;Psychiatrisch ziekenhuis - Hôpital psychiatrique;Privaat - Privé;85;;;;;;;;;;15;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;"Association ""Epsypharma"" Fond'Roy - La Ramée - Area+";;;;;;;;;;;;;;;;;
937;SP;2570;PSYCHIATRISCH ZIEKENHUIS BETHANIE;ZOERSEL;ANDREAS VESALIUSLAAN 39;2980;ZOERSEL;03/380.30.11;www.pzbethanienhuis.be;N;V;Antwerpen;Voorkempen;Psychiatrisch ziekenhuis;Privaat;166;30;;;;;;;;16;;;;;;;;;;;;21;215;60;19;;;50;577;621;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Associatie met Algemeen Ziekenhuis Sint-Jozef Malle (E. 536);;;;;;;;;;;;;;;;;
937;SS;2571;PSYCHIATRISCH ZIEKENHUIS BETHANIE;ELIM;JAGERSDREEF 100;2950;KAPELLEN;03/317.11.00;www.elim.be;N;V;Antwerpen;Antwerpen;;;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
938;SP;3790;"CPI ""LES GOELANDS""";;RUE HAUTE 46;5190;SPY;071/78.79.04;www.lesgoelands.be;F;W;Namur;Namur - Dinant;Hôpital psychiatrique;Privé;;;;;;;;;;;25;;;;;;;;;;;;;;;;;;25;;Les 25 lits K exploité en association avec Hôpital Psychiatrique du Beau-Vallon à Saint-Servais (955);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
939;SP;2540;OPENBAAR PSYCHIATRISCH ZORGCENTRUM GEEL;;DR. SANODREEF 4;2440;GEEL;014/57.91.11;www.opzgeel.be;N;V;Antwerpen;Geel;Psychiatrisch ziekenhuis;Openbaar;88;30;;;;;;;;;16;4;;;;;;;;;;21;117;10;;81;350;30;747;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
941;SP;4010;GRAND HOPITAL DE CHARLEROI;CPJ CHARLES-ALBERT FRERES;RUE DE NALINNES 650;6001;MARCINELLE;071/10.82.11;www.ghdc.be;F;W;Hainaut;Charleroi;Hôpital psychiatrique;Privé;;;;;;;;;;;;36;;;;;;;;;;;;;;;;;36;;Groupement avec Grand Hôpital de Charleroi (N° d'agrément 010);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X (dépôt de médicaments);;;;;;;;;;;;;;;;;;
942;SP;2600;PSYCHIATRISCH  ZIEKENHUIS ST. ANNENDAEL;;VESTENSTRAAT 1;3290;DIEST;013/38.05.11;www.sad.be;N;V;Vlaams-Brabant;Diest - Tienen;Psychiatrisch ziekenhuis;Privaat;40;5;;;;;;;;;;;;;;;;;;;;;40;43;20;;;30;178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
943;SP;2610;UPC KU LEUVEN;KORTENBERG;LEUVENSESTEENWEG 517;3070;KORTENBERG;02/758.05.11;www.upckuleuven.be;N;V;Vlaams-Brabant;Leuven;Psychiatrisch ziekenhuis;Privaat;163;15;10;;;;;;;;20;;10;;;;;;;;;52;151;33;27;;;;481;596;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
943;SS;4230;UPC KU LEUVEN;GASTHUISBERG;HERESTRAAT 49;3000;LEUVEN;016/33.22.11;;N;V;Vlaams-Brabant;Leuven;;Privaat;90;25;;;;;;;;;;;;;;;;;;;;;;;;;;;115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
944;SP;2620;PSYCHIATRISCHE ZIEKENHUIS ST.-ALEXIUS;;GRIMBERGSESTEENWEG 40;1850;GRIMBERGEN;02/270.93.30;www.alexiusgrimbergen.be;N;V;Vlaams-Brabant;Vilvoorde - Dilbeek;Psychiatrisch ziekenhuis;Privaat;42;1;1;;;;;;;;;;;;;;;;;;;20;76;24;5;;;;169;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
946;SP;2670;CENTRE HOPITALIER JEAN TITECA;;RUE DE LA LUZERNE 11;1030;BRUXELLES--3;02/735.01.60;www.chjt.be;B;B;Brussel-Bruxelles;Bruxelles - Brussel;Psychiatrisch ziekenhuis - Hôpital psychiatrique;Privaat - Privé;65;;;;;;;;;16;8;3;1;;;;;;;;;;162;;;;;;255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
947;SP;2680;ALEXIANEN ZORGGROEP TIENEN;LIEFDESTRAAT ;LIEFDESTRAAT 10;3300;TIENEN;016/80.75.11;www.alexianentienen.be;N;V;Vlaams-Brabant;Diest - Tienen;Psychiatrisch ziekenhuis;Privaat;90;;8;;;;;;;;15;3;2;;;;;;;;;20;73;35;2;;;;248;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
947;SS;3780;ALEXIANEN ZORGGROEP TIENEN;MECHELSESTRAAT ;MECHELSESTRAAT 84;3000;LEUVEN;016/23.89.60;;N;V;Vlaams-Brabant;Leuven;Psychiatrisch ziekenhuis;Privaat;;30;22;;;;;;;;;;;;;;;;;;;;;;;;;;52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
948;SP;2120;EPSYLON Asbl;FOND'ROY;AVENUE J. PASTUR 49;1180;BRUXELLES-18;02/375.44.93;www.epsylon.be;B;B;Brussel-Bruxelles;Bruxelles - Brussel;Psychiatrisch ziekenhuis - Hôpital psychiatrique;Privaat - Privé;102;38;;;;;;;;;;;;;;;;;;;;;32;;;;;;172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;"Association ""Epsypharma"" Fond'Roy - La Ramée - Area+";;;;;;;;;;;;;;;;;
949;SP;3840;"""FEUX FOLLETS""";;PLACE QUINET 27;6220;WANGENIES;071/82.32.70;;F;W;Hainaut;Charleroi;Hôpital psychiatrique;Privé;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;20;;Les 20 lits k(n) exploité en association avec Groupe de Jolimont - Hôpital de Nivelles (A/346) et Clinique Notre-Dame de Grâce Gosselies (A/409);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
950;SP;3980;HOPITAL PSYCHIATRIQUE ST.-JEAN DE DIEU;;AVENUE DE LOUDUN 126;7900;LEUZE (HT);069/67.20.20;www.acis-group.org;F;W;Hainaut;Tournai - Mouscron;Hôpital psychiatrique;Privé;123;10;;;;;;;;;;;;;;;;;;;;;30;;;;;;163;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
951;SP;4030;C.H. PSYCHIATRIQUE CHENE AUX HAIES;;CHEMIN DU CHENE AU HAIES 24;7000;MONS;065/41.80.00;www.chpchene.be;F;W;Hainaut;Mons;Hôpital psychiatrique;Public;270;39;1;;;;;;;;;9;;;;;;;;;;;40;27;3;;;;389;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
952;SP;4080;MEDISCH CENTRUM ST.-JOZEF;;ABDIJSTRAAT 2;3740;MUNSTERBILZEN;089/50.91.11;www.mc-st-jozef.be;N;V;Limburg;Sint-Truiden - Tongeren;Psychiatrisch ziekenhuis;Privaat;108;25;15;;;;;;;;25;5;5;;;;;;;;;40;85;15;7;;;;330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
954;SP;4050;CLINIQUE PSYCHIATRIQUE FRERES ALEXIENS;;RUE DU CHÂTEAU DE RUYFF 68;4841;HENRI-CHAPELLE;087/59.32.11;www.cpfa.be;F;W;Liège;Verviers;Hôpital psychiatrique;Privé;110;15;;;;;;;;;;;;;;;;;;;;30;93;10;;;;;258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
955;SP;4140;HOPITAL PSYCHIATRIQUE DU BEAU VALLON;;RUE DE BRICGNIOT 205;5002;SAINT-SERVAIS;081/72.11.11;www.beauvallon.be;F;W;Namur;Namur - Dinant;Hôpital psychiatrique;Privé;150;10;;;;;;;;;;20;;;;;;;;;;60;116;15;5;;;;376;;Les 150 lits A et 20 places K(jour) exploité en association avec CPI les Goelands Spy (A/938);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
956;SP;2210;PSYCHIATRISCH CENTRUM ST.-JAN;;OOSTVELDSTRAAT 1;9900;EEKLO;09/376.97.11;www.psyeeklo.be;N;V;Oost-Vlaanderen;Gent - Eeklo;Psychiatrisch ziekenhuis;Privaat;33;11;;;;;;;;;;;;;;;;;;;;24;95;35;3;;;;201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
959;SP;3910;PSYCHIATRISCH ZIEKENHUIS KARUS;MELLE;CARITASSTRAAT 76;9090;MELLE;09/210.69.69;www.karus.be;N;V;Oost-Vlaanderen;Gent - Eeklo;Psychiatrisch ziekenhuis;Privaat;80;20;;;;;;;;;;6;;;;;;;;;;20;89;40;3;;;;258;472;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
959;SS;3911;PSYCHIATRISCH ZIEKENHUIS KARUS;DE KAAP;SALISBURYLAAN 106;9820;MERELBEKE;09/210.69.69;;N;V;Oost-Vlaanderen;Gent - Eeklo;;;;;;;;;;;;;24;;8;;;;;;;;;;;;;;;;32;;De 24 K- bedden, 6  k(d)- plaatsen en 8 k(n)- bedden worden uitgebaat in functie van de associatie Kinder- & jeugdpsychiatrie regio Gent, Meetjesland en Zuid-Oost Vlaanderen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
959;SS;3920;PSYCHIATRISCH ZIEKENHUIS KARUS;GENT;BEUKENLAAN 20;9051;SINT-DENIJS-WESTREM;09/210.69.69;;N;V;Oost-Vlaanderen;Gent - Eeklo;;;116;6;;;;;;;;;;;;;;;;;;;;;42;16;2;;;;182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
960;SP;3940;ALGEMEEN PSYCHIATRISCH ZIEKENHUIS SINT-LUCIA;ST. LUCIA;ANKERSTRAAT 91;9100;SINT-NIKLAAS;03/760.07.00;www.apzst-lucia.be;N;V;Oost-Vlaanderen;Sint-Niklaas;Psychiatrisch ziekenhuis;Privaat;60;20;;;;;;;;;;;;;;;;;;;;35;98;40;5;;;;258;288;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
960;SS;1871;ALGEMEEN PSYCHIATRISCH ZIEKENHUIS SINT-LUCIA;DAGKLINIEK;STATIONSSTRAAT 120;9120;BEVEREN;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;20;;;;;30;;10 A1- & 20 T1- plaatsen worden uitgebaat in associatie met AZ Nikolaas, Sint-Niklaas (E. 595);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
961;SP;2160;PSYCHIATRISCH ZIEKENHUIS H.-HART;;POPERINGSEWEG 16;8900;IEPER;057/23.91.11;www.hhartieper.be;N;V;West-Vlaanderen;Ieper;Psychiatrisch ziekenhuis;Privaat;90;30;;;;;;;;;;;;;;;;;;;;;127;50;10;;;40;347;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
962;SP;2180;PSYCHIATRISCH CENTRUM MENEN;;BRUGGESTRAAT 75;8930;MENEN;056/52.14.51;www.pcmenen.be;N;V;West-Vlaanderen;Kortrijk;Psychiatrisch ziekenhuis;Privaat;30;4;1;;;;;;;;;;;;;;;;;;;;90;75;3;;;30;233;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Associatie met Az Delta Roeselare (117);;;;;;;;;;;;;;;;;
963;SP;2200;PSYCHIATRISCH ZIEKENHUIS ONZE LIEVE VROUW;;KONING ALBERT I  LAAN 8;8200;BRUGGE;050/30.18.00;www.pzolv.be;N;V;West-Vlaanderen;Brugge;Psychiatrisch ziekenhuis;Privaat;135;24;6;;;;;;;;;;;;;;;;;;;20;107;50;10;;;60;412;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;Associatie met Psychotherapeutisch Centrum Rustenburg, Brugge (987);;;;;;;;;;;;;;;;;
964;SP;4070;"HOPITAL DE JOUR UNIVERSITAIRE ""LA CLE""";;BD DE LA CONSTITUTION 153;4020;LIEGE;04/342.65.96;www.hjulacle.be;F;W;Liège;Liège;Hôpital psychiatrique;Privé;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
