erk;campus_type;vestigingsnr;ziekenhuis;campus;adres;post;gemeente;telefoon;website;taal;gewest;provincie;ziekenhuisregio;soort_ziekenhuis;statuut;a;a1;a2;c;cd;d;e;g;ib_sga_volw;k;k1;k2;l;m;nic;s1;s2;s3;s4;s5;s6;t;t1;t2;tfb;tfp;tg;totaal_bedden;fusie-capaciteit;opmerkingen;ziekenhuisapotheek;medische_beeldvorming_met_scanner;magnetische_resonantie_tomograaf_nmr;pet_scanner;radiotherapie;dialysecentrum;zorgprogramma_cardiale_pathologie;zorgprogramma_reproductieve_geneeskunde_type_a-b;zorgprogramma_oncologie;zorgprogramma_oncologische_basiszorg;gespecialiseerd_oncologisch_zorgpr_voor_borstkanker;zorgprogramma_voor_kinderen;zorgprogramma_voor_de_geriatrische_patient_dienst_voor_geriatrie;zorgprogramma_voor_de_geriatrische_patient_geriatrisch_consult;zorgprogramma_voor_de_geriatrische_patient_dagziekenhuis_voor_de_geriatrische_patiënt;zorgprogramma_voor_de_geriatrische_patient_interne_liaison;zorgprogramma_voor_de_geriatrische_patient_externe_liaison;intensieve_zorg;lokale_neonatale_zorgen_nx;regionale_perinatale_zorg_px;pediatrische_liaison;spoedgevallen;mug;ziekenhuisbloedbank;palliatieve_zorg;chirurgische_daghospitalisatie;niet_chirurgische_daghospitalisatie;lokale_donorcoordinatie;ombudsfunctie;transplantatiecentrum;centrum_voor_menselijke_erfelijkheid;centrum_voor_zware_brandwonden;expertisecentrum_voor_comapatienten;mucoviscidosecentrum;dienst_anatomopathologie
290;SS;1640;ALGEMEEN ZIEKENHUIS ST. LUCAS;VOLKSKLINIEK;TICHELREI 1;9000;GENT;09/224.56.11;;N;V;Oost-Vlaanderen;Gent - Eeklo;Algemeen ziekenhuis;;;;;;;;;92;;;;;;;;;;23;12;24;;;;;;;;151;;;;Medische Beeldvorming met scanner;;;;;;;;Zorgprogramma oncologische basiszorg;;;dienst voor geriatrie;geriatrisch consult;;;;;;;;Eerste opvang van Spoedgevallen;;;;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
300;SP;4220;UNIVERSITAIR ZIEKENHUIS ANTWERPEN;;WILRIJKSTRAAT 10;2650;EDEGEM;03/821.30.00;www.uza.be;N;V;Antwerpen;Antwerpen;Universitair ziekenhuis;Openbaar;;;;249;;250;35;;;;;;;20;19;;;;;;;;;;;;;573;;Associatie met het PZ St. Norbertus, Duffel mbt de gezamelijke exploitatie van 90 A- bedden met korte verblijfsduur gericht op psychose angst en depressie en wachtdienst, deze diensten zijn gevestigd in het PZ St. Norbertus, Stationsstraat 22C te 2570 Duffel. De dienst ambulante consultatie psychiatrie, het universitair forensisch centrum, de crisis- en liaisonpsychiatrie en de psychiatrische wachtdienst zijn gelokaliseerd in het UZA, Edegem;Ziekenhuisapotheek;Medische Beeldvorming met scanner;Medische beeldvorming met magnetische resonantie tomograaf (NMR) (3 toestellen);Pet- scanner;Associatie mbt de gezamelijke exploitatie van de radiotherapiedienst met het ZNA Campus Middelheim te Antwerpen;Dialysecentrum;Zorgprogramma cardiale pathologie A, B, E, P en T;Zorgprogramma reproductieve geneeskunde B;Zorgprogramma oncologie;;Gespecialiseerd oncologisch zorgprogramma voor borstkanker;Zorgprogramma voor kinderen;;;;;;Intensieve Zorgen;Lokale neonatale zorgen;Regionale Perinatale zorgen;;Gespecialiseerde Spoedgevallenzorg;Mobiele Urgentiegroep (MUG);;Palliatieve Zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;Transplantatiecentrum;Centrum voor menselijke erfelijkheid;;;Mucoviscidosecentrum;
308;SP;1250;ALGEMEEN ZIEKENHUIS ST.-ELISABETH;;NEDERRIJ 133;2200;HERENTALS;014/24.61.11;www.azherentals.be;N;V;Antwerpen;Geel;Algemeen ziekenhuis;Openbaar;;;;84;;70;15;24;;;;;;20;;;30;;;;;;;;;;;243;;;Ziekenhuisapotheek;Medische Beeldvorming met scanner;Medische beeldvorming met magnetische resonantie tomograaf (NMR) associatie met AZ Turnhout;;;;Zorgprogramma cardiale pathologie A en P;;;Zorgprogramma oncologische basiszorg;Associatie met het Algemeen Ziekenhuis Turnhout, Rubbensstraat 166 te 2300 Turnhout;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;Mobiele Urgentiegroep (MUG);Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
310;SP;1980;ALGEMEEN ZIEKENHUIS ST. AUGUSTINUS;;IEPERSE STEENWEG 100;8630;VEURNE;058/33.31.11;www.azsav.be;N;V;West-Vlaanderen;Oostende;Algemeen ziekenhuis;Privaat;30;;;61;;50;17;48;;;;;;18;;;;;;;;;;;;;;224;;;Ziekenhuisapotheek;Medische Beeldvorming met scanner;;;;;Zorgprogramma cardiale pathologie A en P;;;Zorgprogramma oncologische basiszorg;;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;Mobiele Urgentiegroep (MUG);Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
314;SP;1270;ALGEMEEN ZIEKENHUIS HEILIGE FAMILIE;;'S HERENBAAN 172;2840;REET;03/880.90.11;www.hfr.be;N;V;Antwerpen;Mechelen;Algemeen ziekenhuis;Privaat;;;;90;;82;;24;;;;;;11;;;;;;;;;;;;;;207;;;Ziekenhuisapotheek;Medische Beeldvorming met scanner;;;;;Zorgprogramma cardiale pathologie A en P;;;Zorgprogramma oncologische basiszorg;;;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;;Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
322;SP;4230;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;GASTHUISBERG;HERESTRAAT 49;3000;LEUVEN;016/33.22.11;www.uzleuven.be;N;V;Vlaams-Brabant;Leuven;Universitair ziekenhuis;Privaat;;;;500;6;606;128;84;;40;7;;8;65;35;;;;;;;;;;;;;1479;1803;;Ziekenhuisapotheek (Associatie met het Nationaal Multiple Sclerose Centrum - Melsbroek, de functie is gelokaliseerd in beide ziekenhuizen) ;Medische Beeldvorming met scanner;Medische beeldvorming met magnetische resonantie tomograaf (NMR) (4 toestellen);Pet- scanner;Radiotherapie;Dialysecentrum;Zorgprogramma cardiale pathologie A, B, C, E, P en T;Zorgprogramma reproductieve geneeskunde B;Zorgprogramma oncologie;;Gespecialiseerd oncologisch zorgprogramma voor borstkanker;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;Regionale Perinatale zorgen;Pediatrische liaison;Gespecialiseerde Spoedgevallenzorg;Mobiele Urgentiegroep (MUG);Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;Transplantatiecentrum;Centrum voor menselijke erfelijkheid;Brandwondencentrum;;;
322;SS;4260;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;STADSCAMPUS;BRUSSELSESTRAAT 69;3000;LEUVEN;016/34.49.00;;N;V;Vlaams-Brabant;Leuven;Universitair ziekenhuis;;;;;30;;;;17;;;;;;;;;;;9;;;;;;;;;56;;;;;;;;;;;;Zorgprogramma oncologische basiszorg;;;dienst voor geriatrie;geriatrisch consult;;;;;;;;;;;;Chirurgische Daghospitalisatie;;;;;;;;;
322;SS;4270;UNIVERSITAIRE ZIEKENHUIZEN K.U.L.;ST. BARBARA;WELIGERVELD 1;3212;PELLENBERG;016/33.22.11;;N;V;Vlaams-Brabant;Leuven;Universitair ziekenhuis;;;;;139;;36;;34;;;;;;;;;59;;;;;;;;;;;268;;;;Medische beeldvorming met scanner;;;;;;;;Zorgprogramma oncologische basiszorg;;;dienst voor geriatrie;geriatrisch consult;;;;;;;;;;;;Chirurgische daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;Expertisecentrum voor comapatiënten (5 bedden);;
325;SP;2750;C. H. UNIVERSITAIRE ANDRE VESALE;ANDRE VESALE;RUE DE GOZEE 706;6110;MONTIGNY-LE-TILLEUL;071/92.15.11;www.chu-charleroi.be;F;W;Hainaut;Charleroi;Hôpital général;Public;31;;;78;65;131;15;78;;;;;;20;;;15;15;8;;;;;;;;;456;631;;Officine Hospitaliere;Imagerie médicale avec scanner;Imagerie médicale tomographe à resonance magnetique (RMN);;Radiothérapie;Centre de dialyse;Programme de soins pathologie cardiaque A, B1, E et P (B1 = collaboration avec C.H.U. de Charleroi à Charleroi);;Programme de soins d'oncologie;;Programme de soins oncologiques spécialisé pour le cancer du sein;Programme de soins pour enfants;;;;;;Soins Intensifs;Soins néonatals locaux;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR);Banque de sang hospitalière;Soins Palliatifs;Hospitalisation Chirurgicale de Jour;;;;;;;;;
325;SS;VH12;C. H. UNIVERSITAIRE ANDRE VESALE;LEONARD DE VINCI;RUE DE GOZEE 706;6110;MONTIGNY-LE-TILLEUL;071/92.38.73;;F;W;Hainaut;Charleroi;Hôpital général;;;;;;;;;;;;;;;;;45;25;85;;20;;;;;;;;175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Centre d'expertise pour les patients comateux (5 lits);;
332;SP;1740;C.H. INTERREGIONAL EDITH CAVELL;EDITH CAVELL;RUE EDITH CAVELL 32;1180;BRUXELLES-18;02/340.40.40;www.chirec.be;B;B;Brussel-Bruxelles;Bruxelles - Brussel;Algemeen ziekenhuis - Hôpital général;Privaat - Privé;;;;60;72;30;30;24;;;;;;70;15;;;;;;;;;;;;;301;494;;Ziekenhuisapotheek - Officine Hospitaliere;Medische Beeldvorming met scanner - Imagerie médicale avec scanner ;Medische beeldvorming met magnetische resonantie tomograaf (NMR) - Imagerie médicale tomographe à resonance magnetique (RMN);;Radiotherapie - Radiothérapie;Dialysecentrum - Centre de dialyse;Programme de soins pathologie cardiaque A et P;Zorgprogramma reproductieve geneeskunde A - Programme de soins médecine de la reproduction A;Programme de soins d'oncologie;;Programme de soins oncologiques spécialisé pour le cancer du sein;Zorgprogramma voor kinderen / programme de soins pour enfants;;;;;;Intensieve Zorgen - Soins Intensifs;Lokale neonatale zorgen - Soins néonatals locaux;Regionale Perinatale zorgen - Soins Périnatals Régionaux;;Gespecialiseerde Spoedgevallenzorg - Soins Urgents Spécialisés;;Ziekenhuisbloedbank - Banque de sang hospitalière;Palliatieve Zorgen - Soins Palliatifs;Chirurgische daghospitalisatie - Hospitalisation Chirurgicale de Jour;Hospitalisation non chirurgicale de jour;;Ombudsfunctie - Fonction de médiateur;;;;;;
332;SS;1750;C.H. INTERREGIONAL EDITH CAVELL;PARC LEOPOLD;RUE FROISSART 38;1040;BRUXELLES--4;02/287.51.11;;B;B;Brussel-Bruxelles;Bruxelles - Brussel;Algemeen ziekenhuis - Hôpital général;;;;;;115;30;;24;;;;;;;;;24;;;;;;;;;;;193;;;;Medische Beeldvorming met scanner - Imagerie médicale avec scanner;;;;;Programme de soins pathologie cardiaque A et P;;;Programme de soins de base en oncologie;;;;;;;;Intensieve Zorgen - Soins Intensifs;;;;Première prise en charge des urgences - Eerste opvang van spoedgevallen;;Ziekenhuisbloedbank - Banque de sang hospitalière;;Chirurgische Daghospitalisatie - Hospitalisation Chirurgicale de Jour;Hospitalisation non chirurgicale de jour;;Ombudsfunctie - Fonction de médiateur;;;;;;
346;SP;1710;CENTRE HOSPITALIER TUBIZE - NIVELLES;NIVELLES;RUE SAMIETTE 1;1400;NIVELLES;067/88.52.11;www.entite-jolimontoise.be;F;W;Brabant Wallon;Brabant Wallon;Hôpital général;Privé;;;;45;;45;15;24;;;;;;15;;;;;;;;;;;;;;144;228;;Officine Hospitaliere;Imagerie médicale avec scanner;;;;;Programme de soins pathologie cardiaque A et P;;Programme de soins d'oncologie;;;Programme de soins pour enfants;;;;;;Soins Intensifs;Soins néonatals locaux;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR);Banque de sang hospitalière;Soins Palliatifs;Hospitalisation Chirurgicale de Jour;;;;;;;;;
346;SS;1720;CENTRE HOSPITALIER TUBIZE - NIVELLES;TUBIZE;AVENUE DE SCANDIANO 8;1480;TUBIZE;02/391.01.30;;F;W;Brabant Wallon;Ath - Soignies;Hôpital général;;;;;30;;30;;24;;;;;;;;;;;;;;;;;;;;84;;;;;;;;;;;;Programme de soins de base en oncologie;;;;;;;;;;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR);;;Hospitalisation Chirurgicale de Jour;;;;;;;;;
371;SP;3560;ZIEKENHUIS OOST - LIMBURG;ST. JAN;SCHIEPSE BOS 6;3600;GENK;089/32.50.50;www.zol.be;N;V;Limburg;Hasselt - Genk;Algemeen ziekenhuis met universitair karakter;Openbaar;30;12;;153;;166;25;;;;;;;60;17;;;;;;;;;;;;;463;811;;Ziekenhuisapotheek;Medische Beeldvorming met scanner;Medische beeldvorming met magnetische resonantie tomograaf (NMR) (2 toestellen);Associatie m.b.t. de gezamelijke exploitatie van een Pet-scanner, het toestel staat opgesteld in het Jessaziekenhuis (campus Virga Jesse) te Hasselt;Radiotherapiedienst ;Dialysecentrum;Zorgprogramma cardiale pathologie A, B, E en P;Zorgprogramma reproductieve geneeskunde B (wordt uitgebaat in associatie met het zorgprogramma reproductieve geneeskunde Type A van het Jessaziekenhuis te Hasselt);Zorgprogramma oncologie;;Gespecialiseerd oncologisch zorgprogramma voor borstkanker;Zorgprogramma voor kinderen;;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen ;Regionale Perinatale zorgen;;Gespecialiseerde Spoedgevallenzorg;Mobiele Urgentiegroep (MUG);Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
371;SS;3030;ZIEKENHUIS OOST - LIMBURG;ANDRE DUMONT;STALENSTRAAT 2;3600;GENK;089/32.50.50;;N;V;Limburg;Hasselt - Genk;Algemeen ziekenhuis met universitair karakter;;;;;60;;14;;82;;;;;;;;;;;9;;;;;;;;;165;;;;Medische Beeldvorming met scanner;;;;;;;;Zorgprogramma oncologische basiszorg;;;dienst voor geriatrie;geriatrisch consult;;;;;;;;;;;;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
371;SS;3040;ZIEKENHUIS OOST - LIMBURG;ST.-BARBARA;BESSEMERSTRAAT 478;3620;LANAKEN;089/32.50.50;;N;V;Limburg;Hasselt - Genk;Algemeen ziekenhuis met universitair karakter;;;;;28;;59;;44;;;;;;;;;22;;;;30;;;;;;;183;;;;Medische Beeldvorming met scanner;;;;;;;;Zorgprogramma oncologische basiszorg;;;dienst voor geriatrie;geriatrisch consult;;;;;;;;Eerste opvang van Spoedgevallen;;;;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
378;SP;1970;ST.-REMBERTZIEKENHUIS V.Z.W.;;ST.-REMBERTLAAN 21;8820;TORHOUT;050/23.21.11;www.azstrembert.be;N;V;West-Vlaanderen;Roeselare;Algemeen ziekenhuis;Privaat;;;;59;;36;26;58;;;;;;18;;;;;;;;;;;;;;197;;;Ziekenhuisapotheek;Medische Beeldvorming met scanner;Associatie mbt. de gezamelijke exploitatie van de dienst medische beeldvorming waarin een magnetische resonantie tomograaf (NMR) staat opgesteld, de dienst is gelokaliseerd in Gezondheidszorg Oostkust, Graaf Jansdijk 162 te 8300 Knokke-Heist;;;;Zorgprogramma cardiale pathologie A en P;;;Zorgprogramma oncologische basiszorg;;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;Mobiele Urgentiegroep (MUG);Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;;Lokale donorcoördinatie;;;;;;;
392;SP;1030;ALGEMEEN ZIEKENHUIS ZENO;KNOKKE-HEIST;GRAAF JANSDIJK 162;8300;KNOKKE-HEIST;050/63.31.11;www.azzeno.be;N;V;West-Vlaanderen;Brugge;Algemeen ziekenhuis;Privaat;30;;;44;;53;15;24;;;;;;13;;;;;;;;;;;;;;179;334;;Ziekenhuisapotheek;Medische Beeldvorming met scanner;Medische beeldvorming met magnetische resonantie tomograaf (NMR);;;;Zorgprogramma cardiale pathologie A en P;;;Zorgprogramma oncologische basiszorg;;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;Mobiele Urgentiegroep (MUG);Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
392;SS;1040;ALGEMEEN ZIEKENHUIS ZENO;BLANKENBERGE;DR. VERHAEGHESTRAAT 1;8370;BLANKENBERGE;050/43.41.11;;N;V;West-Vlaanderen;Brugge;Algemeen ziekenhuis;;;;;41;;47;;27;;;;;;;;20;20;;;;;;;;;;;155;;;;Medische Beeldvorming met scanner;;;;;Zorgprogramma cardiale pathologie A;;;Zorgprogramma oncologische basiszorg;;;dienst voor geriatrie;geriatrisch consult;;;;Intensieve zorgen;;;;Gespecialiseerde Spoedgevallenzorg;Mobiele Urgentiegroep (MUG);Ziekenhuisbloedbank;;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
395;SP;1170;ST.-ANDRIESZIEKENHUIS;;BRUGGESTRAAT 84;8700;TIELT;051/42.51.11;www.sintandriestielt.be;N;V;West-Vlaanderen;Roeselare;Algemeen ziekenhuis;Privaat;30;;;75;;75;20;48;;;;;;18;;;;;;;;;;;;;;266;;;Ziekenhuisapotheek;Medische Beeldvorming met scanner;;;;;Zorgprogramma cardiale pathologie A en P;;Zorgprogramma oncologie;;Associatie met H. Hartziekenhuis Roeselare - Menen, Wilgenstraat 2 te 8800 Roeselare;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;Mobiele Urgentiegroep (MUG);Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
396;SP;1090;ALGEMEEN ZIEKENHUIS GROENINGE;KENNEDYLAAN;PRESIDENT KENNEDYLAAN 4;8500;KORTRIJK;056/63.63.63;www,azgroeninge,be;N;V;West-Vlaanderen;Kortrijk;Algemeen ziekenhuis;Privaat;;;;96;;126;48;;;;;;;48;;;;;;;;;;;;;;318;1066;;Ziekenhuisapotheek;Medische beeldvorming met scanner ( 1);;;;;Zorgprogramma cardiale pathologie A;Zorgprogramma reproductieve geneeskunde A;;Zorgprogramma oncologische basiszorg;;Zorgprogramma voor kinderen;;geriatrisch consult;;;externe liaison;Intensieve zorgen;Lokale neonatale zorgen;;;;;Ziekenhuisbloedbank;Palliatieve zorgen;Chirurgische daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
396;SS;1060;ALGEMEEN ZIEKENHUIS GROENINGE;REEPKAAI;REEPKAAI 4;8500;KORTRIJK;056/63.63.63;;N;V;West-Vlaanderen;Kortrijk;Algemeen ziekenhuis;;;;;;;;;120;;;;;;;;25;;;10;60;;;;;;;;215;;;;Medische Beeldvorming met scanner (1);;Pet- scanner;;;Zorgprogramma cardiale pathologie A;;;Zorgprogramma oncologische basiszorg;;;dienst voor geriatrie;geriatrisch consult;;;;;;;;;;Ziekenhuisbloedbank;;;;;;;;;;;
396;SS;1070;ALGEMEEN ZIEKENHUIS GROENINGE;LOOFSTRAAT ;LOOFSTRAAT 43;8500;KORTRIJK;056/63.63.63;;N;V;West-Vlaanderen;Kortrijk;Algemeen ziekenhuis;;;;;96;;212;;;;;;;;;;;;;;;;;;;;;;308;;;;Medische Beeldvorming met scanner (1);Medische beeldvorming met magnetische resonantie tomograaf (NMR) (2 toestellen);;Radiotherapie;Dialysecentrum;Zorgprogramma cardiale pathologie A, B1-B2, E en P (deelprogramma B1-B2 wordt uitgebaat in associatie met A.Z. Maria Middelares te Gent);;Zorgprogramma oncologie;;Gespecialiseerd oncologisch zorgprogramma voor borstkanker;;dienst voor geriatrie;geriatrisch consult;;;;Intensieve Zorgen;;;;Gespecialiseerde Spoedgevallenzorg;Mobiele Urgentiegroep (MUG);Ziekenhuisbloedbank;;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
396;SS;1050;ALGEMEEN ZIEKENHUIS GROENINGE;VERCRUYSSELAAN;BURG. VERCRUYSSELAAN 5;8500;KORTRIJK;056/63.63.63;;N;V;West-Vlaanderen;Kortrijk;Algemeen ziekenhuis;;60;7;;128;;;;;;;;;;;;;;;;;30;;;;;;;225;;;;Medische Beeldvorming met scanner (1);;;;;Zorgprogramma cardiale pathologie A ;;;Zorgprogramma oncologische basiszorg;;;;geriatrisch consult;;;;;;;;;;Ziekenhuisbloedbank;;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
397;SP;1990;O.L.V. VAN LOURDES ZIEKENHUIS WAREGEM;;VIJFSEWEG 150;8790;WAREGEM;056/62.31.11;www.ziekenhuiswaregem.be;N;V;West-Vlaanderen;Kortrijk;Algemeen ziekenhuis;Privaat;30;;;58;;67;22;48;;;;;;22;;;20;;;;;;;;;;;267;;;Ziekenhuisapotheek;Medische Beeldvorming met scanner;;;;;Zorgprogramma cardiale pathologie A en P;;;Zorgprogramma oncologische basiszorg;;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;;Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;;;;;;;;;
403;SP;4190;CLINIQUES UNIVERSITAIRES ST.-LUC;;AVENUE HIPPOCRATE 10;1200;BRUXELLES-20;02/764.11.11;www.saintluc.be;F;B;Brussel-Bruxelles;Bruxelles - Brussel;Universitair ziekenhuis - Hôpital universitaire;Privaat - Privé;24;;;345;;357;99;48;;5;15;;;36;22;;28;;;;;;;;;;;979;;;Ziekenhuisapotheek - Officine Hospitaliere;Medische Beeldvorming met scanner (1)- Imagerie médicale avec scanner (1);Medische beeldvorming met magnetische resonantie tomograaf (NMR) (3) - Imagerie médicale tomographe à resonance magnetique (RMN) (3);Pet- scanner - Scanner pet (1);Radiotherapie - Radiothérapie;Dialysecentrum - Centre de dialyse;Programma de soins pathologie cardiaque A, B, C, E, P en T ;Zorgprogramma reproductieve geneeskunde B - Programme de soins médecine de la reproduction B;Zorgprogramma oncologie - Programme de soins d'oncologie;;Programme de soins oncologiques spécialisé pour le cancer du sein;Programme de soins pour enfants / Zorgprogramma voor kinderen;Dienst voor geriatrie - Service de gériatrique;;;;;Intensieve Zorgen - Soins Intensifs;Lokale neonatale zorgen - Soins néonatals locaux;Regionale Perinatale zorgen - Soins Périnatals Régionaux;Liaison pédiatrique;Gespecialiseerde Spoedgevallenzorg - Soins Urgents Spécialisés;Mobiele Urgentiegroep (MUG) - Service Mobile d'Urgence (SMUR);Ziekenhuisbloedbank - Banque de sang hospitalière;Palliatieve Zorgen - Soins Palliatifs;Chirurgische Daghospitalisatie - Hospitalisation Chirurgicale de Jour;;;;Transplantatiecentrum - Centre de transplantation ;Centrum voor menselijke erfelijkheid - Centre de génétique humaine;;;;
406;SP;4210;CLINIQUES UNIVERSITAIRES DE BRUXELLES HOPITAL ERASME;;ROUTE DE LENNIK 808;1070;BRUXELLES--7;02/555.31.11;www.hopitalerasme.be;F;B;Brussel-Bruxelles;Bruxelles - Brussel;Universitair ziekenhuis - Hôpital universitaire;Privaat - Privé;50;;;337;39;311;15;24;;20;;;;27;21;;;20;;;;;;;;;;864;;;Ziekenhuisapotheek - Officine Hospitaliere;Medische beeldvorming met scanner - Imagerie médicale avec scanner;Medische beeldvorming met magnetische resonantie tomograaf (NMR) (3) - Imagerie médicale tomographe à resonance magnetique (RMN) (3);Pet- scanner - Scanner pet;;Dialysecentrum - Centre de dialyse;Programma de soins pathologie cardiaque A, B, E, P en T ;Zorgprogramma reproductieve geneeskunde B - Programme de soins médecine de la reproduction B;Zorgprogramma oncologie - Programme de soins d'oncologie;;Gespecialiseerd oncologisch zorgprogramma voor borstkanker - Programme de soins oncologiques spécialisé pour le cancer du sein;Programme de soins pour enfants / Zorgprogramma voor kinderen;;;;;;Intensieve Zorgen - Soins Intensifs;Lokale neonatale zorgen - Soins néonatals locaux;;;Gespecialiseerde Spoedgevallenzorg - Soins Urgents Spécialisés;Mobiele Urgentiegroep (MUG) - Service Mobile d'Urgence (SMUR);Ziekenhuisbloedbank - Banque de sang hospitalière;Palliatieve Zorgen - Soins Palliatifs;Chirurgische Daghospitalisatie - Hospitalisation Chirurgicale de Jour;;;;Transplantatiecentrum - Centre de transplantation ;Centrum voor menselijke erfelijkheid - Centre de génétique humaine;;;;
408;SP;2410;INSTITUT PACHECO;;RUE DU GRAND HOSPICE 7;1000;BRUXELLES--1;02/226.42.11;www.cpasbru.irisnet.be;B;B;Brussel-Bruxelles;Bruxelles - Brussel;Geriatrisch ziekenhuis - Hôpital gériatrique;Openbaar - Public;;;;;;;;69;;;;;;;;;;;;;76;;;;;;;145;;;Ziekenhuisapotheek - Officine Hospitaliere;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ombudsfunctie - Fonction de médiation;;;;;;
409;SP;3350;CLINIQUE NOTRE-DAME DE GRACE;;CHAUSSEE DE NIVELLES 212;6041;GOSSELIES;071/37.90.00;www.cndg.be;F;W;Hainaut;Charleroi;Hôpital général;Privé;;;;50;10;46;22;24;;;;;;24;;;;;;20;;;;;;;;196;;;Officine Hospitaliere;Imagerie médicale avec scanner;Assocation avec Grand Hôpital de Charleroi - Charleroi;;;;Programme de soins pathologie cardiaque A, E et P;;Programme de soins d'oncologie;;;Programme de soins pour enfants;;;;;;Soins Intensifs;Soins néonatals locaux;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR);Banque de sang hospitalière;Soins Palliatifs;Hospitalisation Chirurgicale de Jour;;;;;;;;;
410;SP;3380;CENTRE HOSPITALIER EPICURA;HORNU;ROUTE DE MONS 63;7301;HORNU;065/71.31.11;www.epicura.be;F;W;Hainaut;Mons;Hôpital général;Privé;30;10;;95;8;124;15;65;;;;;;20;;;24;;;;;;;;;;;391;;;Officine Hospitaliere;Imagerie médicale avec scanner (1);;;;Centre de dialyse;Programme de soins pathologie cardiaque A, B1, E et P (B1 = collaboration avec Grand Hôpital de Charleroi, Gilly);;Programme de soins d'oncologie;;;Programme de soins pour enfants;;;;;;Soins Intensifs;;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR) exploité en alternance avec RHMS Clinique Louis Caty - Baudour et C.H.R. St. Joseph - Hôpital de Warquignies (site Boussu);Banque de sang hospitalière;Soins Palliatifs;;;;;;;;;;
